60# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
48.000     0.000
49.000     0.000
50.000     0.000
51.000     0.000
52.000     0.000
53.000     0.000
54.000     0.000
55.000     0.000
56.000     0.000
57.000     0.000
58.000     0.000
59.000     0.000
1350# Number of data
# a b m n rhoa
5 20 10 15 262.993
6 21 11 16 281.054
7 22 12 17 339.499
8 23 13 18 355.690
9 24 14 19 365.502
10 25 15 20 352.845
11 26 16 21 315.058
12 27 17 22 302.875
13 28 18 23 282.620
14 29 19 24 270.360
15 30 20 25 266.153
16 31 21 26 232.019
17 32 22 27 218.783
18 33 23 28 234.704
19 34 24 29 230.617
20 35 25 30 251.200
21 36 26 31 278.281
22 37 27 32 301.383
23 38 28 33 273.853
24 39 29 34 252.311
25 40 30 35 237.282
26 41 31 36 216.731
27 42 32 37 206.271
28 43 33 38 207.940
29 44 34 39 204.380
30 45 35 40 202.749
31 46 36 41 198.376
32 47 37 42 196.063
33 48 38 43 175.996
34 49 39 44 170.651
35 50 40 45 158.565
36 51 41 46 158.927
37 52 42 47 161.324
38 53 43 48 153.419
39 54 44 49 153.566
40 55 45 50 142.131
41 56 46 51 139.314
42 57 47 52 134.625
43 58 48 53 129.172
44 59 49 54 124.187
45 60 50 55 128.721
1 19 7 13 162.073
2 20 8 14 160.050
3 21 9 15 162.959
4 22 10 16 161.750
5 23 11 17 178.518
6 24 12 18 208.281
7 25 13 19 225.777
8 26 14 20 247.623
9 27 15 21 252.778
10 28 16 22 225.731
11 29 17 23 194.047
12 30 18 24 172.106
13 31 19 25 167.015
14 32 20 26 154.305
15 33 21 27 141.767
16 34 22 28 148.490
17 35 23 29 154.759
18 36 24 30 155.315
19 37 25 31 167.175
20 38 26 32 181.789
21 39 27 33 185.038
22 40 28 34 172.050
23 41 29 35 161.096
24 42 30 36 158.194
25 43 31 37 148.608
26 44 32 38 136.539
27 45 33 39 128.144
28 46 34 40 128.105
29 47 35 41 127.539
30 48 36 42 119.961
31 49 37 43 125.330
32 50 38 44 122.000
33 51 39 45 112.488
34 52 40 46 107.259
35 53 41 47 108.742
36 54 42 48 112.456
37 55 43 49 105.583
38 56 44 50 109.504
39 57 45 51 103.665
40 58 46 52 102.413
41 59 47 53 97.712
42 60 48 54 93.580
1 22 8 15 120.235
2 23 9 16 118.104
3 24 10 17 122.305
4 25 11 18 135.246
5 26 12 19 154.424
6 27 13 20 171.710
7 28 14 21 170.950
8 29 15 22 163.048
9 30 16 23 151.888
10 31 17 24 138.469
11 32 18 25 125.389
12 33 19 26 112.993
13 34 20 27 105.615
14 35 21 28 110.116
15 36 22 29 108.347
16 37 23 30 109.840
17 38 24 31 114.725
18 39 25 32 120.083
19 40 26 33 122.507
20 41 27 34 133.141
21 42 28 35 124.189
22 43 29 36 116.979
23 44 30 37 115.047
24 45 31 38 104.746
25 46 32 39 101.615
26 47 33 40 90.843
27 48 34 41 85.808
28 49 35 42 92.391
29 50 36 43 92.250
30 51 37 44 89.032
31 52 38 45 91.598
32 53 39 46 88.915
33 54 40 47 85.768
34 55 41 48 86.859
35 56 42 49 85.430
36 57 43 50 83.043
37 58 44 51 86.348
38 59 45 52 82.748
39 60 46 53 82.276
1 25 9 17 106.193
2 26 10 18 104.815
3 27 11 19 115.784
4 28 12 20 124.035
5 29 13 21 121.453
6 30 14 22 122.699
7 31 15 23 118.093
8 32 16 24 109.478
9 33 17 25 106.827
10 34 18 26 99.011
11 35 19 27 93.243
12 36 20 28 89.473
13 37 21 29 86.378
14 38 22 30 86.747
15 39 23 31 87.995
16 40 24 32 89.579
17 41 25 33 93.109
18 42 26 34 99.387
19 43 27 35 102.123
20 44 28 36 98.921
21 45 29 37 92.659
22 46 30 38 90.082
23 47 31 39 85.313
24 48 32 40 76.394
25 49 33 41 77.517
26 50 34 42 71.247
27 51 35 43 73.203
28 52 36 44 72.891
