48# Number of electrodes
# x z
0.000     0.000
2.000     0.000
4.000     0.000
6.000     0.000
8.000     0.000
10.000     0.000
12.000     0.000
14.000     0.000
16.000     0.000
18.000     0.000
20.000     0.000
22.000     0.000
24.000     0.000
26.000     0.000
28.000     0.000
30.000     0.000
32.000     0.000
34.000     0.000
36.000     0.000
38.000     0.000
40.000     0.000
42.000     0.000
44.000     0.000
46.000     0.000
48.000     0.000
50.000     0.000
52.000     0.000
54.000     0.000
56.000     0.000
58.000     0.000
60.000     0.000
62.000     0.000
64.000     0.000
66.000     0.000
68.000     0.000
70.000     0.000
72.000     0.000
74.000     0.000
76.000     0.000
78.000     0.000
80.000     0.000
82.000     0.000
84.000     0.000
86.000     0.000
88.000     0.000
90.000     0.000
92.000     0.000
94.000     0.000
909# Number of data
# a b m n rhoa
1 4 2 3 41.461
2 5 3 4 41.790
3 6 4 5 27.086
4 7 5 6 39.771
5 8 6 7 39.585
6 9 7 8 46.499
7 10 8 9 53.508
8 11 9 10 52.284
9 12 10 11 61.531
10 13 11 12 70.371
11 14 12 13 57.012
12 15 13 14 87.067
13 16 14 15 77.586
14 17 15 16 106.593
15 18 16 17 90.279
16 19 17 18 121.861
17 20 18 19 93.146
18 21 19 20 125.107
19 22 20 21 115.250
20 23 21 22 128.532
21 24 22 23 122.193
22 25 23 24 153.658
23 26 24 25 144.532
24 27 25 26 151.584
25 28 26 27 141.925
26 29 27 28 142.636
27 30 28 29 122.280
28 31 29 30 110.316
29 32 30 31 100.567
30 33 31 32 88.433
31 34 32 33 71.038
32 35 33 34 74.173
33 36 34 35 98.278
34 37 35 36 79.819
35 38 36 37 99.052
36 39 37 38 65.725
37 40 38 39 68.172
38 41 39 40 37.823
39 42 40 41 42.252
40 43 41 42 42.020
41 44 42 43 41.020
42 45 43 44 39.788
43 46 44 45 46.038
44 47 45 46 35.331
45 48 46 47 41.789
1 7 3 5 24.699
2 8 4 6 22.325
3 9 5 7 24.686
4 10 6 8 25.784
5 11 7 9 26.374
6 12 8 10 28.450
7 13 9 11 37.272
8 14 10 12 38.664
9 15 11 13 32.607
10 16 12 14 36.505
11 17 13 15 47.070
12 18 14 16 50.532
13 19 15 17 47.319
14 20 16 18 52.431
15 21 17 19 50.695
16 22 18 20 57.318
17 23 19 21 62.815
18 24 20 22 68.166
19 25 21 23 69.815
20 26 22 24 85.994
21 27 23 25 89.869
22 28 24 26 80.472
23 29 25 27 80.400
24 30 26 28 88.790
25 31 27 29 83.985
26 32 28 30 67.563
27 33 29 31 59.628
28 34 30 32 53.947
29 35 31 33 44.535
30 36 32 34 41.672
31 37 33 35 49.816
32 38 34 36 41.998
33 39 35 37 29.848
34 40 36 38 31.732
35 41 37 39 39.158
36 42 38 40 32.863
37 43 39 41 24.156
38 44 40 42 23.838
39 45 41 43 23.393
40 46 42 44 24.865
41 47 43 45 25.574
42 48 44 46 25.392
1 10 4 7 19.230
2 11 5 8 19.741
3 12 6 9 21.264
4 13 7 10 24.312
5 14 8 11 25.786
6 15 9 12 27.267
7 16 10 13 24.761
8 17 11 14 25.739
9 18 12 15 26.446
10 19 13 16 32.772
11 20 14 17 34.990
12 21 15 18 36.913
13 22 16 19 34.216
14 23 17 20 38.272
15 24 18 21 39.494
16 25 19 22 45.973
17 26 20 23 49.309
18 27 21 24 55.114
19 28 22 25 52.122
20 29 23 26 52.123
21 30 24 27 48.602
22 31 25 28 49.901
23 32 26 29 50.742
24 33 27 30 54.103
25 34 28 31 48.144
26 35 29 32 42.342
27 36 30 33 36.880
28 37 31 34 34.465
29 38 32 35 34.247
30 39 33 36 30.321
31 40 34 37 28.721
32 41 35 38 26.040
33 42 36 39 25.654
34 43 37 40 24.954
35 44 38 41 25.742
36 45 39 42 21.398
37 46 40 43 22.289
38 47 41 44 22.119
39 48 42 45 24.104
1 13 5 9 19.678
2 14 6 10 21.390
3 15 7 11 23.556
4 16 8 12 24.156
5 17 9 13 22.378
6 18 10 14 22.356
7 19 11 15 23.384
8 20 12 16 24.595
9 21 13 17 27.044
10 22 14 18 29.270
11 23 15 19 31.274
12 24 16 20 32.232
13 25 17 21 32.574
14 26 18 22 34.208
15 27 19 23 36.307
16 28 20 24 38.438
17 29 21 25 38.235
18 30 22 26 37.874
19 31 23 27 37.253
20 32 24 28 37.339
21 33 25 29 38.008
22 34 26 30 38.524
23 35 27 31 36.978
24 36 28 32 35.806
25 37 29 33 32.649
26 38 30 34 29.630
27 39 31 35 28.688
28 40 32 36 27.968
29 41 33 37 28.001
30 42 34 38 27.471
31 43 35 39 25.208
32 44 36 40 23.684
33 45 37 41 21.797
34 46 38 42 21.121
35 47 39 43 20.606
36 48 40 44 21.684
1 16 6 11 21.337
2 17 7 12 22.493
3 18 8 13 21.746
4 19 9 14 22.325
5 20 10 15 21.870
6 21 11 16 22.110
7 22 12 17 22.978
8 23 13 18 26.042
9 24 14 19 25.814
10 25 15 20 27.157
11 26 16 21 28.455
12 27 17 22 29.242
13 28 18 23 27.446
14 29 19 24 29.361
15 30 20 25 29.963
16 31 21 26 30.357
17 32 22 27 31.124
18 33 23 28 32.830
19 34 24 29 32.570
20 35 25 30 30.952
21 36 26 31 30.072
22 37 27 32 28.815
23 38 28 33 26.230
24 39 29 34 25.117
25 40 30 35 26.784
26 41 31 36 26.067
27 42 32 37 25.657
28 43 33 38 25.740
29 44 34 39 25.868
30 45 35 40 23.079
31 46 36 41 22.431
32 47 37 42 21.305
33 48 38 43 20.069
1 19 7 13 20.361
2 20 8 14 21.317
3 21 9 15 21.855
4 22 10 16 22.436
5 23 11 17 23.144
6 24 12 18 22.887
7 25 13 19 22.820
8 26 14 20 23.370
9 27 15 21 23.560
10 28 16 22 23.242
11 29 17 23 23.736
12 30 18 24 25.021
13 31 19 25 25.421
14 32 20 26 26.010
15 33 21 27 26.874
16 34 22 28 28.414
17 35 23 29 28.446
18 36 24 30 27.875
19 37 25 31 25.911
20 38 26 32 24.953
21 39 27 33 23.493
22 40 28 34 22.166
23 41 29 35 22.708
24 42 30 36 23.372
25 43 31 37 23.396
26 44 32 38 23.878
27 45 33 39 24.180
28 46 34 40 23.507
29 47 35 41 21.631
30 48 36 42 21.269
1 22 8 15 20.971
2 23 9 16 22.112
3 24 10 17 23.475
4 25 11 18 22.200
5 26 12 19 20.718
6 27 13 20 20.902
7 28 14 21 20.078
8 29 15 22 20.071
9 30 16 23 20.224
10 31 17 24 21.838
11 32 18 25 23.121
12 33 19 26 23.984
13 34 20 27 24.244
14 35 21 28 24.431
15 36 22 29 24.445
16 37 23 30 24.774
17 38 24 31 24.090
18 39 25 32 23.321
19 40 26 33 21.769
20 41 27 34 21.151
21 42 28 35 21.135
22 43 29 36 20.409
23 44 30 37 21.207
24 45 31 38 21.021
25 46 32 39 22.030
26 47 33 40 21.306
27 48 34 41 21.627
1 25 9 17 21.309
2 26 10 18 21.598
3 27 11 19 20.416
4 28 12 20 19.500
5 29 13 21 18.737
6 30 14 22 18.647
7 31 15 23 18.596
8 32 16 24 20.056
9 33 17 25 21.586
10 34 18 26 22.666
11 35 19 27 22.671
12 36 20 28 23.130
13 37 21 29 22.638
14 38 22 30 22.478
15 39 23 31 21.696
16 40 24 32 21.746
17 41 25 33 21.673
18 42 26 34 21.112
19 43 27 35 20.919
20 44 28 36 20.116
21 45 29 37 19.061
22 46 30 38 19.363
23 47 31 39 19.226
24 48 32 40 19.734
1 28 10 19 19.604
2 29 11 20 19.061
3 30 12 21 18.839
4 31 13 22 19.078
5 32 14 23 18.752
6 33 15 24 19.882
7 34 16 25 21.010
8 35 17 26 20.865
9 36 18 27 20.956
10 37 19 28 21.838
11 38 20 29 21.819
12 39 21 30 22.141
13 40 22 31 21.486
14 41 23 32 21.955
15 42 24 33 21.180
16 43 25 34 20.833
17 44 26 35 21.076
18 45 27 36 20.251
19 46 28 37 19.277
20 47 29 38 18.722
21 48 30 39 18.985
1 31 11 21 17.239
