51# Number of electrodes
# x z
0.000     0.000
1.500     0.000
3.000     0.000
4.500     0.000
6.000     0.000
7.500     0.000
9.000     0.000
10.500     0.000
12.000     0.000
13.500     0.000
15.000     0.000
16.500     0.000
18.000     0.000
19.500     0.000
21.000     0.000
22.500     0.000
24.000     0.000
25.500     0.000
27.000     0.000
28.500     0.000
30.000     0.000
31.500     0.000
33.000     0.000
34.500     0.000
36.000     0.000
37.500     0.000
39.000     0.000
40.500     0.000
42.000     0.000
43.500     0.000
45.000     0.000
46.500     0.000
48.000     0.000
49.500     0.000
51.000     0.000
52.500     0.000
54.000     0.000
55.500     0.000
57.000     0.000
58.500     0.000
60.000     0.000
61.500     0.000
63.000     0.000
64.500     0.000
66.000     0.000
67.500     0.000
69.000     0.000
70.500     0.000
72.000     0.000
73.500     0.000
75.000     0.000
1011# Number of data
# a b m n rhoa
17 35 23 29 206.046
18 36 24 30 205.320
19 37 25 31 197.362
20 38 26 32 189.236
21 39 27 33 189.750
22 40 28 34 193.234
23 41 29 35 171.262
24 42 30 36 168.288
25 43 31 37 177.033
26 44 32 38 177.522
27 45 33 39 175.783
28 46 34 40 177.919
29 47 35 41 201.111
30 48 36 42 210.902
31 49 37 43 202.021
32 50 38 44 198.953
33 51 39 45 195.431
1 22 8 15 163.697
2 23 9 16 168.781
3 24 10 17 177.180
4 25 11 18 176.871
5 26 12 19 176.168
6 27 13 20 176.880
7 28 14 21 176.373
8 29 15 22 172.486
9 30 16 23 171.531
10 31 17 24 172.793
11 32 18 25 174.743
12 33 19 26 176.571
13 34 20 27 176.790
14 35 21 28 178.374
15 36 22 29 184.648
16 37 23 30 189.559
17 38 24 31 185.913
18 39 25 32 184.738
19 40 26 33 180.992
20 41 27 34 172.635
21 42 28 35 165.822
22 43 29 36 163.261
23 44 30 37 157.528
24 45 31 38 166.619
25 46 32 39 170.361
26 47 33 40 178.357
27 48 34 41 189.903
28 49 35 42 195.807
29 50 36 43 189.955
30 51 37 44 194.476
1 25 9 17 157.473
2 26 10 18 159.676
3 27 11 19 164.638
4 28 12 20 159.767
5 29 13 21 155.449
6 30 14 22 159.517
7 31 15 23 161.703
8 32 16 24 160.928
9 33 17 25 164.945
10 34 18 26 163.632
11 35 19 27 160.990
12 36 20 28 164.161
13 37 21 29 172.246
14 38 22 30 168.529
15 39 23 31 167.881
16 40 24 32 170.852
17 41 25 33 163.390
18 42 26 34 158.208
19 43 27 35 160.416
20 44 28 36 158.412
21 45 29 37 150.334
22 46 30 38 155.760
23 47 31 39 163.538
24 48 32 40 170.058
25 49 33 41 179.794
26 50 34 42 181.750
27 51 35 43 178.200
1 28 10 19 149.623
2 29 11 20 143.187
3 30 12 21 143.062
4 31 13 22 146.890
5 32 14 23 145.909
6 33 15 24 150.392
7 34 16 25 151.688
8 35 17 26 154.739
9 36 18 27 151.459
10 37 19 28 148.625
11 38 20 29 153.812
12 39 21 30 154.437
13 40 22 31 149.401
14 41 23 32 148.358
15 42 24 33 146.487
16 43 25 34 148.198
17 44 26 35 144.323
18 45 27 36 148.563
19 46 28 37 151.233
20 47 29 38 149.143
21 48 30 39 155.326
22 49 31 40 161.205
23 50 32 41 163.816
24 51 33 42 167.486
1 31 11 21 133.869
2 32 12 22 132.904
3 33 13 23 133.784
4 34 14 24 134.019
5 35 15 25 139.847
6 36 16 26 142.960
7 37 17 27 140.716
8 38 18 28 136.487
9 39 19 29 138.584
10 40 20 30 137.099
11 41 21 31 130.285
12 42 22 32 129.932
13 43 23 33 133.841
14 44 24 34 134.137
15 45 25 35 132.120
16 46 26 36 134.973
17 47 27 37 139.954
18 48 28 38 149.489
19 49 29 39 146.222
20 50 30 40 144.979
21 51 31 41 154.449
1 34 12 23 121.381
2 35 13 24 123.520
3 36 14 25 126.064
4 37 15 26 128.854
5 38 16 27 125.798
6 39 17 28 125.939
7 40 18 29 125.867
8 41 19 30 118.465
9 42 20 31 115.572
10 43 21 32 117.754
11 44 22 33 116.533
12 45 23 34 120.920
13 46 24 35 122.571
14 47 25 36 125.936
15 48 26 37 128.706
16 49 27 38 133.405
17 50 28 39 136.053
18 51 29 40 135.529
1 37 13 25 114.814
2 38 14 26 114.614
3 39 15 27 113.624
4 40 16 28 111.128
5 41 17 29 109.982
6 42 18 30 107.248
7 43 19 31 104.676
8 44 20 32 105.240
9 45 21 33 106.558
10 46 22 34 107.894
11 47 23 35 111.274
12 48 24 36 118.665
13 49 25 37 116.899
14 50 26 38 118.090
15 51 27 39 121.795
1 40 14 27 100.713
2 41 15 28 97.474
3 42 16 29 98.213
4 43 17 30 97.833
5 44 18 31 94.021
6 45 19 32 95.233
7 46 20 33 96.997
8 47 21 34 100.236
9 48 22 35 103.035
10 49 23 36 105.139
11 50 24 37 105.221
12 51 25 38 108.568
1 43 15 29 90.179
2 44 16 30 87.933
3 45 17 31 86.814
4 46 18 32 87.286
5 47 19 33 88.441
6 48 20 34 93.944
7 49 21 35 92.919
8 50 22 36 93.668
9 51 23 37 95.830
1 46 16 31 79.924
2 47 17 32 81.915
3 48 18 33 83.998
4 49 19 34 83.238
5 50 20 35 83.164
6 51 21 36 86.380
1 49 17 33 76.775
