51# Number of electrodes
# x z
0.000     0.000
1.500     0.000
3.000     0.000
4.500     0.000
6.000     0.000
7.500     0.000
9.000     0.000
10.500     0.000
12.000     0.000
13.500     0.000
15.000     0.000
16.500     0.000
18.000     0.000
19.500     0.000
21.000     0.000
22.500     0.000
24.000     0.000
25.500     0.000
27.000     0.000
28.500     0.000
30.000     0.000
31.500     0.000
33.000     0.000
34.500     0.000
36.000     0.000
37.500     0.000
39.000     0.000
40.500     0.000
42.000     0.000
43.500     0.000
45.000     0.000
46.500     0.000
48.000     0.000
49.500     0.000
51.000     0.000
52.500     0.000
54.000     0.000
55.500     0.000
57.000     0.000
58.500     0.000
60.000     0.000
61.500     0.000
63.000     0.000
64.500     0.000
66.000     0.000
67.500     0.000
69.000     0.000
70.500     0.000
72.000     0.000
73.500     0.000
75.000     0.000
1011# Number of data
# a b m n rhoa x z
12 13 17 16 535.892 20.250 -1.462
13 14 18 17 590.269 21.750 -1.462
14 15 19 18 669.552 23.250 -1.462
15 16 20 19 468.279 24.750 -1.462
16 17 21 20 540.827 26.250 -1.462
17 18 22 21 522.476 27.750 -1.462
18 19 23 22 494.637 29.250 -1.462
19 20 24 23 379.639 30.750 -1.462
20 21 25 24 530.403 32.250 -1.462
21 22 26 25 526.232 33.750 -1.462
22 23 27 26 493.562 35.250 -1.462
23 24 28 27 450.932 36.750 -1.462
24 25 29 28 687.467 38.250 -1.462
25 26 30 29 529.204 39.750 -1.462
26 27 31 30 330.113 41.250 -1.462
27 28 32 31 380.034 42.750 -1.462
28 29 33 32 446.394 44.250 -1.462
29 30 34 33 369.057 45.750 -1.462
30 31 35 34 289.246 47.250 -1.462
31 32 36 35 455.110 48.750 -1.462
32 33 37 36 473.501 50.250 -1.462
33 34 38 37 643.025 51.750 -1.462
34 35 39 38 484.272 53.250 -1.462
35 36 40 39 507.357 54.750 -1.462
36 37 41 40 552.164 56.250 -1.462
37 38 42 41 624.003 57.750 -1.462
38 39 43 42 402.570 59.250 -1.462
39 40 44 43 570.892 60.750 -1.462
40 41 45 44 562.453 62.250 -1.462
41 42 46 45 483.655 63.750 -1.462
42 43 47 46 377.626 65.250 -1.462
43 44 48 47 388.095 66.750 -1.462
44 45 49 48 465.512 68.250 -1.462
45 46 50 49 466.093 69.750 -1.462
46 47 51 50 415.199 71.250 -1.462
1 2 7 6 260.742 4.500 -1.755
2 3 8 7 324.527 6.000 -1.755
3 4 9 8 283.765 7.500 -1.755
4 5 10 9 298.262 9.000 -1.755
5 6 11 10 338.350 10.500 -1.755
6 7 12 11 316.377 12.000 -1.755
7 8 13 12 308.232 13.500 -1.755
8 9 14 13 338.063 15.000 -1.755
9 10 15 14 286.866 16.500 -1.755
10 11 16 15 364.830 18.000 -1.755
11 12 17 16 402.680 19.500 -1.755
12 13 18 17 352.721 21.000 -1.755
13 14 19 18 403.222 22.500 -1.755
14 15 20 19 314.168 24.000 -1.755
15 16 21 20 341.166 25.500 -1.755
16 17 22 21 379.779 27.000 -1.755
17 18 23 22 307.574 28.500 -1.755
18 19 24 23 334.595 30.000 -1.755
19 20 25 24 301.680 31.500 -1.755
20 21 26 25 314.718 33.000 -1.755
21 22 27 26 318.701 34.500 -1.755
22 23 28 27 303.190 36.000 -1.755
23 24 29 28 398.461 37.500 -1.755
24 25 30 29 333.869 39.000 -1.755
25 26 31 30 282.574 40.500 -1.755
26 27 32 31 254.217 42.000 -1.755
27 28 33 32 249.563 43.500 -1.755
28 29 34 33 302.507 45.000 -1.755
29 30 35 34 219.711 46.500 -1.755
30 31 36 35 225.545 48.000 -1.755
31 32 37 36 281.822 49.500 -1.755
32 33 38 37 368.224 51.000 -1.755
33 34 39 38 316.656 52.500 -1.755
34 35 40 39 279.750 54.000 -1.755
35 36 41 40 428.571 55.500 -1.755
36 37 42 41 321.293 57.000 -1.755
37 38 43 42 271.818 58.500 -1.755
38 39 44 43 339.000 60.000 -1.755
39 40 45 44 291.484 61.500 -1.755
40 41 46 45 345.880 63.000 -1.755
41 42 47 46 309.382 64.500 -1.755
42 43 48 47 194.203 66.000 -1.755
43 44 49 48 354.315 67.500 -1.755
44 45 50 49 393.803 69.000 -1.755
45 46 51 50 271.526 70.500 -1.755
1 2 8 7 227.981 5.250 -2.047
2 3 9 8 266.242 6.750 -2.047
3 4 10 9 223.445 8.250 -2.047
4 5 11 10 247.225 9.750 -2.047
5 6 12 11 308.033 11.250 -2.047
6 7 13 12 236.228 12.750 -2.047
7 8 14 13 250.306 14.250 -2.047
8 9 15 14 255.218 15.750 -2.047
9 10 16 15 250.184 17.250 -2.047
10 11 17 16 290.639 18.750 -2.047
11 12 18 17 319.057 20.250 -2.047
12 13 19 18 296.425 21.750 -2.047
13 14 20 19 237.949 23.250 -2.047
14 15 21 20 273.842 24.750 -2.047
15 16 22 21 286.945 26.250 -2.047
16 17 23 22 266.714 27.750 -2.047
17 18 24 23 265.427 29.250 -2.047
18 19 25 24 312.740 30.750 -2.047
19 20 26 25 226.318 32.250 -2.047
20 21 27 26 233.892 33.750 -2.047
21 22 28 27 244.158 35.250 -2.047
22 23 29 28 308.300 36.750 -2.047
23 24 30 29 235.617 38.250 -2.047
24 25 31 30 223.086 39.750 -2.047
25 26 32 31 266.110 41.250 -2.047
26 27 33 32 202.231 42.750 -2.047
27 28 34 33 208.634 44.250 -2.047
28 29 35 34 232.665 45.750 -2.047
29 30 36 35 217.653 47.250 -2.047
30 31 37 36 178.366 48.750 -2.047
31 32 38 37 280.186 50.250 -2.047
32 33 39 38 240.103 51.750 -2.047
33 34 40 39 254.789 53.250 -2.047
34 35 41 40 278.071 54.750 -2.047
35 36 42 41 298.790 56.250 -2.047
36 37 43 42 170.069 57.750 -2.047
37 38 44 43 283.986 59.250 -2.047
38 39 45 44 215.136 60.750 -2.047
39 40 46 45 215.159 62.250 -2.047
40 41 47 46 253.090 63.750 -2.047
41 42 48 47 203.092 65.250 -2.047
42 43 49 48 224.880 66.750 -2.047
43 44 50 49 343.553 68.250 -2.047
44 45 51 50 262.511 69.750 -2.047
1 3 9 7 274.347 6.000 -2.340
2 4 10 8 258.933 7.500 -2.340
3 5 11 9 256.883 9.000 -2.340
4 6 12 10 297.756 10.500 -2.340
5 7 13 11 287.993 12.000 -2.340
6 8 14 12 265.571 13.500 -2.340
7 9 15 13 281.899 15.000 -2.340
8 10 16 14 266.282 16.500 -2.340
9 11 17 15 302.363 18.000 -2.340
10 12 18 16 338.340 19.500 -2.340
11 13 19 17 324.451 21.000 -2.340
12 14 20 18 313.651 22.500 -2.340
13 15 21 19 277.000 24.000 -2.340
14 16 22 20 301.305 25.500 -2.340
15 17 23 21 311.666 27.000 -2.340
16 18 24 22 281.707 28.500 -2.340
17 19 25 23 306.718 30.000 -2.340
18 20 26 24 282.258 31.500 -2.340
19 21 27 25 258.789 33.000 -2.340
20 22 28 26 266.806 34.500 -2.340
21 23 29 27 289.273 36.000 -2.340
22 24 30 28 313.105 37.500 -2.340
23 25 31 29 264.346 39.000 -2.340
24 26 32 30 260.980 40.500 -2.340
25 27 33 31 242.134 42.000 -2.340
26 28 34 32 221.350 43.500 -2.340
27 29 35 33 247.460 45.000 -2.340
28 30 36 34 228.165 46.500 -2.340
29 31 37 35 208.300 48.000 -2.340
30 32 38 36 247.219 49.500 -2.340
31 33 39 37 299.777 51.000 -2.340
32 34 40 38 272.769 52.500 -2.340
33 35 41 39 274.973 54.000 -2.340
34 36 42 40 335.831 55.500 -2.340
35 37 43 41 262.117 57.000 -2.340
36 38 44 42 242.014 58.500 -2.340
37 39 45 43 279.932 60.000 -2.340
38 40 46 44 240.890 61.500 -2.340
39 41 47 45 270.560 63.000 -2.340
40 42 48 46 256.808 64.500 -2.340
41 43 49 47 215.600 66.000 -2.340
42 44 50 48 305.109 67.500 -2.340
43 45 51 49 333.552 69.000 -2.340
1 3 11 9 219.081 7.500 -2.925
2 4 12 10 220.393 9.000 -2.925
3 5 13 11 223.399 10.500 -2.925
4 6 14 12 238.008 12.000 -2.925
5 7 15 13 222.819 13.500 -2.925
6 8 16 14 214.082 15.000 -2.925
7 9 17 15 240.158 16.500 -2.925
8 10 18 16 235.527 18.000 -2.925
9 11 19 17 247.917 19.500 -2.925
10 12 20 18 254.618 21.000 -2.925
11 13 21 19 221.443 22.500 -2.925
12 14 22 20 233.293 24.000 -2.925
13 15 23 21 234.619 25.500 -2.925
14 16 24 22 230.596 27.000 -2.925
15 17 25 23 265.095 28.500 -2.925
16 18 26 24 278.540 30.000 -2.925
17 19 27 25 253.364 31.500 -2.925
18 20 28 26 208.372 33.000 -2.925
19 21 29 27 224.229 34.500 -2.925
20 22 30 28 251.926 36.000 -2.925
21 23 31 29 195.016 37.500 -2.925
22 24 32 30 192.518 39.000 -2.925
23 25 33 31 232.255 40.500 -2.925
24 26 34 32 235.599 42.000 -2.925
25 27 35 33 201.457 43.500 -2.925
26 28 36 34 188.284 45.000 -2.925
27 29 37 35 232.204 46.500 -2.925
28 30 38 36 229.424 48.000 -2.925
29 31 39 37 208.218 49.500 -2.925
30 32 40 38 214.715 51.000 -2.925
31 33 41 39 248.861 52.500 -2.925
32 34 42 40 264.169 54.000 -2.925
33 35 43 41 202.559 55.500 -2.925
34 36 44 42 188.522 57.000 -2.925
35 37 45 43 201.460 58.500 -2.925
36 38 46 44 184.948 60.000 -2.925
37 39 47 45 175.075 61.500 -2.925
38 40 48 46 161.371 63.000 -2.925
39 41 49 47 216.385 64.500 -2.925
40 42 50 48 292.321 66.000 -2.925
41 43 51 49 239.410 67.500 -2.925
1 3 13 11 214.482 9.000 -3.510
2 4 14 12 197.140 10.500 -3.510
3 5 15 13 194.479 12.000 -3.510
4 6 16 14 222.289 13.500 -3.510
5 7 17 15 223.548 15.000 -3.510
6 8 18 16 217.139 16.500 -3.510
7 9 19 17 237.139 18.000 -3.510
8 10 20 18 212.981 19.500 -3.510
9 11 21 19 195.994 21.000 -3.510
10 12 22 20 232.234 22.500 -3.510
11 13 23 21 223.371 24.000 -3.510
12 14 24 22 210.614 25.500 -3.510
13 15 25 23 240.196 27.000 -3.510
14 16 26 24 264.331 28.500 -3.510
15 17 27 25 255.148 30.000 -3.510
16 18 28 26 237.610 31.500 -3.510
17 19 29 27 261.798 33.000 -3.510
18 20 30 28 239.322 34.500 -3.510
19 21 31 29 183.026 36.000 -3.510
20 22 32 30 197.668 37.500 -3.510
21 23 33 31 211.884 39.000 -3.510
22 24 34 32 205.573 40.500 -3.510
23 25 35 33 219.417 42.000 -3.510
24 26 36 34 229.497 43.500 -3.510
25 27 37 35 213.645 45.000 -3.510
26 28 38 36 205.208 46.500 -3.510
27 29 39 37 256.441 48.000 -3.510
28 30 40 38 237.086 49.500 -3.510
29 31 41 39 219.639 51.000 -3.510
30 32 42 40 241.078 52.500 -3.510
31 33 43 41 203.432 54.000 -3.510
32 34 44 42 183.350 55.500 -3.510
33 35 45 43 188.213 57.000 -3.510
34 36 46 44 170.449 58.500 -3.510
35 37 47 45 153.164 60.000 -3.510
36 38 48 46 148.497 61.500 -3.510
37 39 49 47 181.985 63.000 -3.510
38 40 50 48 231.099 64.500 -3.510
39 41 51 49 265.873 66.000 -3.510
1 3 15 13 186.843 10.500 -4.095
2 4 16 14 184.501 12.000 -4.095
3 5 17 15 194.918 13.500 -4.095
4 6 18 16 224.712 15.000 -4.095
5 7 19 17 220.727 16.500 -4.095
6 8 20 18 194.331 18.000 -4.095
7 9 21 19 189.014 19.500 -4.095
8 10 22 20 197.881 21.000 -4.095
9 11 23 21 195.961 22.500 -4.095
10 12 24 22 209.762 24.000 -4.095
11 13 25 23 233.552 25.500 -4.095
12 14 26 24 241.522 27.000 -4.095
13 15 27 25 231.289 28.500 -4.095
14 16 28 26 224.402 30.000 -4.095
15 17 29 27 263.254 31.500 -4.095
16 18 30 28 272.318 33.000 -4.095
17 19 31 29 214.585 34.500 -4.095
18 20 32 30 194.278 36.000 -4.095
19 21 33 31 203.257 37.500 -4.095
20 22 34 32 211.722 39.000 -4.095
21 23 35 33 201.667 40.500 -4.095
22 24 36 34 201.747 42.000 -4.095
23 25 37 35 229.132 43.500 -4.095
24 26 38 36 244.253 45.000 -4.095
25 27 39 37 232.767 46.500 -4.095
26 28 40 38 208.047 48.000 -4.095
27 29 41 39 264.573 49.500 -4.095
28 30 42 40 264.791 51.000 -4.095
29 31 43 41 174.368 52.500 -4.095
30 32 44 42 169.281 54.000 -4.095
31 33 45 43 191.633 55.500 -4.095
32 34 46 44 163.449 57.000 -4.095
33 35 47 45 141.467 58.500 -4.095
34 36 48 46 137.726 60.000 -4.095
35 37 49 47 161.899 61.500 -4.095
36 38 50 48 216.208 63.000 -4.095
37 39 51 49 220.199 64.500 -4.095
1 4 16 13 185.253 11.250 -4.387
2 5 17 14 191.918 12.750 -4.387
3 6 18 15 215.496 14.250 -4.387
4 7 19 16 216.497 15.750 -4.387
5 8 20 17 209.733 17.250 -4.387
6 9 21 18 202.207 18.750 -4.387
7 10 22 19 189.164 20.250 -4.387
8 11 23 20 200.295 21.750 -4.387
9 12 24 21 210.483 23.250 -4.387
10 13 25 22 217.413 24.750 -4.387
11 14 26 23 234.338 26.250 -4.387
12 15 27 24 238.681 27.750 -4.387
13 16 28 25 233.461 29.250 -4.387
14 17 29 26 247.562 30.750 -4.387
15 18 30 27 254.152 32.250 -4.387
16 19 31 28 252.620 33.750 -4.387
17 20 32 29 204.149 35.250 -4.387
18 21 33 30 196.278 36.750 -4.387
19 22 34 31 210.731 38.250 -4.387
20 23 35 32 202.320 39.750 -4.387
21 24 36 33 207.969 41.250 -4.387
22 25 37 34 213.146 42.750 -4.387
23 26 38 35 240.674 44.250 -4.387
24 27 39 36 226.356 45.750 -4.387
25 28 40 37 226.398 47.250 -4.387
26 29 41 38 244.644 48.750 -4.387
27 30 42 39 247.796 50.250 -4.387
28 31 43 40 218.857 51.750 -4.387
29 32 44 41 190.801 53.250 -4.387
30 33 45 42 169.123 54.750 -4.387
31 34 46 43 185.765 56.250 -4.387
32 35 47 44 152.096 57.750 -4.387
33 36 48 45 147.880 59.250 -4.387
34 37 49 46 149.051 60.750 -4.387
35 38 50 47 185.734 62.250 -4.387
36 39 51 48 212.663 63.750 -4.387
1 4 19 16 177.173 13.500 -5.265
2 5 20 17 175.471 15.000 -5.265
3 6 21 18 180.475 16.500 -5.265
4 7 22 19 168.611 18.000 -5.265
5 8 23 20 175.205 19.500 -5.265
6 9 24 21 175.980 21.000 -5.265
7 10 25 22 180.000 22.500 -5.265
8 11 26 23 197.864 24.000 -5.265
9 12 27 24 213.172 25.500 -5.265
10 13 28 25 207.477 27.000 -5.265
11 14 29 26 217.056 28.500 -5.265
12 15 30 27 220.336 30.000 -5.265
13 16 31 28 226.070 31.500 -5.265
14 17 32 29 210.248 33.000 -5.265
15 18 33 30 215.371 34.500 -5.265
16 19 34 31 233.885 36.000 -5.265
17 20 35 32 206.606 37.500 -5.265
18 21 36 33 203.411 39.000 -5.265
19 22 37 34 196.343 40.500 -5.265
20 23 38 35 211.136 42.000 -5.265
21 24 39 36 210.666 43.500 -5.265
22 25 40 37 231.872 45.000 -5.265
23 26 41 38 244.788 46.500 -5.265
24 27 42 39 239.846 48.000 -5.265
25 28 43 40 212.289 49.500 -5.265
26 29 44 41 201.042 51.000 -5.265
27 30 45 42 174.396 52.500 -5.265
28 31 46 43 166.909 54.000 -5.265
29 32 47 44 140.688 55.500 -5.265
30 33 48 45 129.909 57.000 -5.265
31 34 49 46 145.211 58.500 -5.265
32 35 50 47 157.432 60.000 -5.265
33 36 51 48 188.087 61.500 -5.265
1 4 22 19 133.339 15.750 -6.142
2 5 23 20 141.038 17.250 -6.142
3 6 24 21 152.408 18.750 -6.142
4 7 25 22 154.378 20.250 -6.142
5 8 26 23 167.995 21.750 -6.142
6 9 27 24 171.339 23.250 -6.142
7 10 28 25 164.600 24.750 -6.142
8 11 29 26 174.318 26.250 -6.142
9 12 30 27 188.410 27.750 -6.142
10 13 31 28 191.755 29.250 -6.142
11 14 32 29 176.802 30.750 -6.142
12 15 33 30 180.859 32.250 -6.142
13 16 34 31 200.879 33.750 -6.142
14 17 35 32 205.243 35.250 -6.142
15 18 36 33 212.725 36.750 -6.142
16 19 37 34 209.706 38.250 -6.142
17 20 38 35 206.015 39.750 -6.142
18 21 39 36 198.128 41.250 -6.142
19 22 40 37 205.213 42.750 -6.142
20 23 41 38 210.251 44.250 -6.142
21 24 42 39 216.257 45.750 -6.142
22 25 43 40 210.043 47.250 -6.142
23 26 44 41 196.871 48.750 -6.142
24 27 45 42 165.778 50.250 -6.142
25 28 46 43 159.167 51.750 -6.142
26 29 47 44 144.699 53.250 -6.142
27 30 48 45 129.390 54.750 -6.142
28 31 49 46 132.092 56.250 -6.142
29 32 50 47 140.602 57.750 -6.142
30 33 51 48 160.642 59.250 -6.142
1 5 25 21 130.846 18.000 -7.020
2 6 26 22 142.895 19.500 -7.020
3 7 27 23 146.288 21.000 -7.020
4 8 28 24 151.679 22.500 -7.020
5 9 29 25 163.071 24.000 -7.020
6 10 30 26 151.732 25.500 -7.020
7 11 31 27 156.617 27.000 -7.020
8 12 32 28 168.455 28.500 -7.020
9 13 33 29 158.668 30.000 -7.020
10 14 34 30 165.522 31.500 -7.020
11 15 35 31 178.649 33.000 -7.020
12 16 36 32 181.250 34.500 -7.020
13 17 37 33 191.308 36.000 -7.020
14 18 38 34 200.122 37.500 -7.020
15 19 39 35 212.156 39.000 -7.020
16 20 40 36 197.792 40.500 -7.020
17 21 41 37 208.303 42.000 -7.020
18 22 42 38 202.799 43.500 -7.020
19 23 43 39 187.908 45.000 -7.020
20 24 44 40 188.285 46.500 -7.020
21 25 45 41 174.215 48.000 -7.020
22 26 46 42 156.655 49.500 -7.020
23 27 47 43 151.950 51.000 -7.020
24 28 48 44 129.647 52.500 -7.020
25 29 49 45 133.802 54.000 -7.020
26 30 50 46 135.189 55.500 -7.020
27 31 51 47 138.303 57.000 -7.020
1 5 29 25 101.161 21.000 -8.190
2 6 30 26 121.576 22.500 -8.190
3 7 31 27 113.487 24.000 -8.190
4 8 32 28 127.606 25.500 -8.190
5 9 33 29 119.425 27.000 -8.190
6 10 34 30 116.232 28.500 -8.190
7 11 35 31 132.738 30.000 -8.190
8 12 36 32 137.264 31.500 -8.190
9 13 37 33 139.547 33.000 -8.190
10 14 38 34 148.902 34.500 -8.190
11 15 39 35 158.151 36.000 -8.190
12 16 40 36 165.778 37.500 -8.190
13 17 41 37 184.092 39.000 -8.190
14 18 42 38 189.819 40.500 -8.190
15 19 43 39 186.230 42.000 -8.190
16 20 44 40 173.233 43.500 -8.190
17 21 45 41 147.173 45.000 -8.190
18 22 46 42 131.049 46.500 -8.190
19 23 47 43 125.270 48.000 -8.190
20 24 48 44 111.521 49.500 -8.190
21 25 49 45 115.295 51.000 -8.190
22 26 50 46 124.584 52.500 -8.190
23 27 51 47 129.347 54.000 -8.190
1 6 31 26 111.618 22.500 -8.775
2 7 32 27 109.620 24.000 -8.775
3 8 33 28 113.210 25.500 -8.775
4 9 34 29 111.966 27.000 -8.775
5 10 35 30 112.579 28.500 -8.775
6 11 36 31 121.674 30.000 -8.775
7 12 37 32 127.800 31.500 -8.775
8 13 38 33 136.376 33.000 -8.775
9 14 39 34 140.806 34.500 -8.775
10 15 40 35 153.134 36.000 -8.775
11 16 41 36 168.977 37.500 -8.775
12 17 42 37 176.469 39.000 -8.775
13 18 43 38 173.152 40.500 -8.775
14 19 44 39 176.460 42.000 -8.775
15 20 45 40 163.746 43.500 -8.775
16 21 46 41 142.851 45.000 -8.775
17 22 47 42 124.266 46.500 -8.775
18 23 48 43 119.402 48.000 -8.775
19 24 49 44 110.628 49.500 -8.775
20 25 50 45 117.272 51.000 -8.775
21 26 51 46 121.316 52.500 -8.775
1 6 36 31 83.770 26.250 -10.238
2 7 37 32 86.260 27.750 -10.238
3 8 38 33 88.124 29.250 -10.238
4 9 39 34 93.006 30.750 -10.238
5 10 40 35 98.350 32.250 -10.238
6 11 41 36 95.282 33.750 -10.238
7 12 42 37 116.014 35.250 -10.238
8 13 43 38 112.963 36.750 -10.238
9 14 44 39 117.367 38.250 -10.238
10 15 45 40 116.822 39.750 -10.238
11 16 46 41 99.076 41.250 -10.238
12 17 47 42 100.346 42.750 -10.238
13 18 48 43 103.578 44.250 -10.238
14 19 49 44 99.752 45.750 -10.238
15 20 50 45 96.618 47.250 -10.238
16 21 51 46 97.492 48.750 -10.238
1 7 37 31 83.183 27.000 -10.530
2 8 38 32 88.046 28.500 -10.530
3 9 39 33 92.129 30.000 -10.530
4 10 40 34 94.651 31.500 -10.530
5 11 41 35 100.917 33.000 -10.530
6 12 42 36 110.044 34.500 -10.530
7 13 43 37 116.027 36.000 -10.530
8 14 44 38 116.377 37.500 -10.530
9 15 45 39 118.255 39.000 -10.530
10 16 46 40 117.067 40.500 -10.530
11 17 47 41 110.394 42.000 -10.530
12 18 48 42 101.482 43.500 -10.530
13 19 49 43 107.228 45.000 -10.530
14 20 50 44 99.797 46.500 -10.530
15 21 51 45 98.757 48.000 -10.530
1 7 43 37 66.739 31.500 -12.285
2 8 44 38 68.579 33.000 -12.285
3 9 45 39 69.628 34.500 -12.285
4 10 46 40 69.391 36.000 -12.285
5 11 47 41 65.333 37.500 -12.285
6 12 48 42 61.177 39.000 -12.285
7 13 49 43 67.253 40.500 -12.285
8 14 50 44 64.364 42.000 -12.285
9 15 51 45 65.670 43.500 -12.285
1 8 50 43 43.688 36.750 -14.333
2 9 51 44 41.263 38.250 -14.333
1 11 51 41 54.221 37.500 -14.625
