time	-4	-3.5	-3	-1.5	-1	-0.5	Unnamed: 7	date
2022-08-04 15:30:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 15:45:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 16:00:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 16:15:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 16:30:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 16:45:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 17:00:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 17:15:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 17:30:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 17:45:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 18:00:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 18:15:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 18:30:00	18.3	18.7	18.8	13.2	14.5	15.3		2022-08-04
2022-08-04 18:45:00	18.3	18.7	18.8	13.3	14.5	15.3		2022-08-04
2022-08-04 19:00:00	18.3	18.7	18.8	13.3	14.5	15.3		2022-08-04
2022-08-04 19:15:00	18.3	18.7	18.8	13.3	14.5	15.3		2022-08-04
2022-08-04 19:30:00	18.3	18.7	18.8	13.3	14.5	15.3		2022-08-04
2022-08-04 19:45:00	18.3	18.7	18.8	13.3	14.5	15.3		2022-08-04
2022-08-04 20:00:00	18.3	18.7	18.8	13.3	14.5	15.3		2022-08-04
2022-08-04 20:15:00	18.3	18.7	18.8	13.3	14.5	15.3		2022-08-04
2022-08-04 20:30:00	18.3	18.7	18.8	13.3	14.5	15.3		2022-08-04
2022-08-04 20:45:00	18.3	18.7	18.8	13.3	14.5	15.3		2022-08-04
2022-08-04 21:00:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 21:15:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 21:30:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 21:45:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 22:00:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 22:15:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 22:30:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 22:45:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 23:00:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 23:15:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 23:30:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
2022-08-04 23:45:00	18.3	18.7	18.8	13.4	14.5	15.3		2022-08-04
