48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a    b    m    n    rhoa
     1	     4	     2	     3	        4262.43
     2	     5	     3	     4	        6959.43
     3	     6	     4	     5	       19307.03
     4	     7	     5	     6	        -132.78
     5	     8	     6	     7	       16584.12
     6	     9	     7	     8	       12594.42
     7	    10	     8	     9	       20157.03
     8	    11	     9	    10	       19389.95
     9	    12	    10	    11	       32247.86
    10	    13	    11	    12	       33474.49
    11	    14	    12	    13	       15590.96
    12	    15	    13	    14	       42598.79
    13	    16	    14	    15	       15240.73
    14	    17	    15	    16	       12817.36
    15	    18	    16	    17	       18719.65
    16	    19	    17	    18	       10129.06
    17	    20	    18	    19	       18592.72
    18	    21	    19	    20	       19618.30
    19	    22	    20	    21	       10439.91
    20	    23	    21	    22	       12631.19
    21	    24	    22	    23	        7747.10
    22	    25	    23	    24	        7664.08
    23	    26	    24	    25	        8426.42
    24	    27	    25	    26	        8269.02
    25	    28	    26	    27	       11345.32
    26	    29	    27	    28	        6913.84
    27	    30	    28	    29	       14398.34
    28	    31	    29	    30	        9129.38
    29	    32	    30	    31	       13720.75
    30	    33	    31	    32	       11450.33
    31	    34	    32	    33	       10727.84
    32	    35	    33	    34	        7857.68
    33	    36	    34	    35	        6353.01
    34	    37	    35	    36	        5332.63
    35	    38	    36	    37	        3622.80
    36	    39	    37	    38	        2943.29
    37	    40	    38	    39	        2031.26
    38	    41	    39	    40	        2661.17
    39	    42	    40	    41	        2767.93
    40	    43	    41	    42	        4232.68
    41	    44	    42	    43	        4441.20
    42	    45	    43	    44	        6537.48
    43	    46	    44	    45	       11011.72
    44	    47	    45	    46	       20007.29
    45	    48	    46	    47	       26340.01
     1	     7	     3	     5	       14761.94
     2	     8	     4	     6	        4283.40
     3	     9	     5	     7	       11372.58
     4	    10	     6	     8	        5196.55
     5	    11	     7	     9	       -6040.46
     6	    12	     8	    10	        5953.47
     7	    13	     9	    11	        7109.84
     8	    14	    10	    12	       11075.44
     9	    15	    11	    13	       17084.84
    10	    16	    12	    14	        9401.64
    11	    17	    13	    15	     -121058.85
    12	    18	    14	    16	       10156.92
    13	    19	    15	    17	      -71951.15
    14	    20	    16	    18	       10591.54
    15	    21	    17	    19	        1160.51
    16	    22	    18	    20	        9942.78
    17	    23	    19	    21	        7363.69
    18	    24	    20	    22	        7019.52
    19	    25	    21	    23	        7616.36
    20	    26	    22	    24	        6129.36
    21	    27	    23	    25	        5986.39
    22	    28	    24	    26	        6067.13
    23	    29	    25	    27	        5862.75
    24	    30	    26	    28	        4104.13
    25	    31	    27	    29	        7653.56
    26	    32	    28	    30	        7503.46
    27	    33	    29	    31	        6276.49
    28	    34	    30	    32	        7404.08
    29	    35	    31	    33	        8446.23
    30	    36	    32	    34	        5597.16
    31	    37	    33	    35	        3475.25
    32	    38	    34	    36	        3768.10
    33	    39	    35	    37	        3180.71
    34	    40	    36	    38	        2797.53
    35	    41	    37	    39	        1953.08
    36	    42	    38	    40	        1663.19
    37	    43	    39	    41	        2216.99
    38	    44	    40	    42	        3217.40
    39	    45	    41	    43	        1886.51
    40	    46	    42	    44	        1368.32
    41	    47	    43	    45	        3869.87
    42	    48	    44	    46	       12975.60
     1	    10	     4	     7	        1243.65
     2	    11	     5	     8	        1834.12
     3	    12	     6	     9	       -9940.59
     4	    13	     7	    10	        -511.58
     5	    14	     8	    11	        4966.45
     6	    15	     9	    12	        4360.77
     7	    16	    10	    13	        3078.78
     8	    17	    11	    14	        1637.14
     9	    18	    12	    15	        2892.91
    10	    19	    13	    16	       16893.27
    11	    20	    14	    17	       17687.83
    12	    21	    15	    18	        4888.44
    13	    22	    16	    19	        7798.66
    14	    23	    17	    20	         770.45
    15	    24	    18	    21	        5734.27
    16	    25	    19	    22	        4989.35
    17	    26	    20	    23	        9151.25
    18	    27	    21	    24	        4408.90
    19	    28	    22	    25	        4441.72
    20	    29	    23	    26	        5662.39
    21	    30	    24	    27	        4717.75
    22	    31	    25	    28	        2035.70
    23	    32	    26	    29	         474.77
    24	    33	    27	    30	        1282.36
    25	    34	    28	    31	        4732.06
