48# Number of electrodes
# x z
0.000     0.000
2.000     0.000
4.000     0.000
6.000     0.000
8.000     0.000
10.000     0.000
12.000     0.000
14.000     0.000
16.000     0.000
18.000     0.000
20.000     0.000
22.000     0.000
24.000     0.000
26.000     0.000
28.000     0.000
30.000     0.000
32.000     0.000
34.000     0.000
36.000     0.000
38.000     0.000
40.000     0.000
42.000     0.000
44.000     0.000
46.000     0.000
48.000     0.000
50.000     0.000
52.000     0.000
54.000     0.000
56.000     0.000
58.000     0.000
60.000     0.000
62.000     0.000
64.000     0.000
66.000     0.000
68.000     0.000
70.000     0.000
72.000     0.000
74.000     0.000
76.000     0.000
78.000     0.000
80.000     0.000
82.000     0.000
84.000     0.000
86.000     0.000
88.000     0.000
90.000     0.000
92.000     0.000
94.000     0.000
909# Number of data
# a b m n rhoa x z
7 19 11 15 23.384 24.000 -2.640
8 20 12 16 24.595 26.000 -2.640
9 21 13 17 27.044 28.000 -2.640
10 22 14 18 29.270 30.000 -2.640
11 23 15 19 31.274 32.000 -2.640
12 24 16 20 32.232 34.000 -2.640
13 25 17 21 32.574 36.000 -2.640
14 26 18 22 34.208 38.000 -2.640
15 27 19 23 36.307 40.000 -2.640
16 28 20 24 38.438 42.000 -2.640
17 29 21 25 38.235 44.000 -2.640
18 30 22 26 37.874 46.000 -2.640
19 31 23 27 37.253 48.000 -2.640
20 32 24 28 37.339 50.000 -2.640
21 33 25 29 38.008 52.000 -2.640
22 34 26 30 38.524 54.000 -2.640
23 35 27 31 36.978 56.000 -2.640
24 36 28 32 35.806 58.000 -2.640
25 37 29 33 32.649 60.000 -2.640
26 38 30 34 29.630 62.000 -2.640
27 39 31 35 28.688 64.000 -2.640
28 40 32 36 27.968 66.000 -2.640
29 41 33 37 28.001 68.000 -2.640
30 42 34 38 27.471 70.000 -2.640
31 43 35 39 25.208 72.000 -2.640
32 44 36 40 23.684 74.000 -2.640
33 45 37 41 21.797 76.000 -2.640
34 46 38 42 21.121 78.000 -2.640
35 47 39 43 20.606 80.000 -2.640
36 48 40 44 21.684 82.000 -2.640
1 16 6 11 21.337 15.000 -3.300
2 17 7 12 22.493 17.000 -3.300
3 18 8 13 21.746 19.000 -3.300
4 19 9 14 22.325 21.000 -3.300
5 20 10 15 21.870 23.000 -3.300
6 21 11 16 22.110 25.000 -3.300
7 22 12 17 22.978 27.000 -3.300
8 23 13 18 26.042 29.000 -3.300
9 24 14 19 25.814 31.000 -3.300
10 25 15 20 27.157 33.000 -3.300
11 26 16 21 28.455 35.000 -3.300
12 27 17 22 29.242 37.000 -3.300
13 28 18 23 27.446 39.000 -3.300
14 29 19 24 29.361 41.000 -3.300
15 30 20 25 29.963 43.000 -3.300
16 31 21 26 30.357 45.000 -3.300
17 32 22 27 31.124 47.000 -3.300
18 33 23 28 32.830 49.000 -3.300
19 34 24 29 32.570 51.000 -3.300
20 35 25 30 30.952 53.000 -3.300
21 36 26 31 30.072 55.000 -3.300
22 37 27 32 28.815 57.000 -3.300
23 38 28 33 26.230 59.000 -3.300
24 39 29 34 25.117 61.000 -3.300
25 40 30 35 26.784 63.000 -3.300
26 41 31 36 26.067 65.000 -3.300
27 42 32 37 25.657 67.000 -3.300
28 43 33 38 25.740 69.000 -3.300
29 44 34 39 25.868 71.000 -3.300
30 45 35 40 23.079 73.000 -3.300
31 46 36 41 22.431 75.000 -3.300
32 47 37 42 21.305 77.000 -3.300
33 48 38 43 20.069 79.000 -3.300
1 19 7 13 20.361 18.000 -3.960
2 20 8 14 21.317 20.000 -3.960
3 21 9 15 21.855 22.000 -3.960
4 22 10 16 22.436 24.000 -3.960
5 23 11 17 23.144 26.000 -3.960
6 24 12 18 22.887 28.000 -3.960
7 25 13 19 22.820 30.000 -3.960
8 26 14 20 23.370 32.000 -3.960
9 27 15 21 23.560 34.000 -3.960
10 28 16 22 23.242 36.000 -3.960
11 29 17 23 23.736 38.000 -3.960
12 30 18 24 25.021 40.000 -3.960
13 31 19 25 25.421 42.000 -3.960
14 32 20 26 26.010 44.000 -3.960
15 33 21 27 26.874 46.000 -3.960
16 34 22 28 28.414 48.000 -3.960
17 35 23 29 28.446 50.000 -3.960
18 36 24 30 27.875 52.000 -3.960
19 37 25 31 25.911 54.000 -3.960
20 38 26 32 24.953 56.000 -3.960
21 39 27 33 23.493 58.000 -3.960
22 40 28 34 22.166 60.000 -3.960
23 41 29 35 22.708 62.000 -3.960
24 42 30 36 23.372 64.000 -3.960
25 43 31 37 23.396 66.000 -3.960
26 44 32 38 23.878 68.000 -3.960
27 45 33 39 24.180 70.000 -3.960
28 46 34 40 23.507 72.000 -3.960
29 47 35 41 21.631 74.000 -3.960
30 48 36 42 21.269 76.000 -3.960
1 22 8 15 20.971 21.000 -4.620
2 23 9 16 22.112 23.000 -4.620
3 24 10 17 23.475 25.000 -4.620
4 25 11 18 22.200 27.000 -4.620
5 26 12 19 20.718 29.000 -4.620
6 27 13 20 20.902 31.000 -4.620
7 28 14 21 20.078 33.000 -4.620
8 29 15 22 20.071 35.000 -4.620
9 30 16 23 20.224 37.000 -4.620
10 31 17 24 21.838 39.000 -4.620
11 32 18 25 23.121 41.000 -4.620
12 33 19 26 23.984 43.000 -4.620
13 34 20 27 24.244 45.000 -4.620
14 35 21 28 24.431 47.000 -4.620
15 36 22 29 24.445 49.000 -4.620
16 37 23 30 24.774 51.000 -4.620
17 38 24 31 24.090 53.000 -4.620
18 39 25 32 23.321 55.000 -4.620
19 40 26 33 21.769 57.000 -4.620
20 41 27 34 21.151 59.000 -4.620
21 42 28 35 21.135 61.000 -4.620
22 43 29 36 20.409 63.000 -4.620
23 44 30 37 21.207 65.000 -4.620
24 45 31 38 21.021 67.000 -4.620
25 46 32 39 22.030 69.000 -4.620
26 47 33 40 21.306 71.000 -4.620
27 48 34 41 21.627 73.000 -4.620
1 25 9 17 21.309 24.000 -5.280
2 26 10 18 21.598 26.000 -5.280
3 27 11 19 20.416 28.000 -5.280
4 28 12 20 19.500 30.000 -5.280
5 29 13 21 18.737 32.000 -5.280
6 30 14 22 18.647 34.000 -5.280
7 31 15 23 18.596 36.000 -5.280
8 32 16 24 20.056 38.000 -5.280
9 33 17 25 21.586 40.000 -5.280
10 34 18 26 22.666 42.000 -5.280
11 35 19 27 22.671 44.000 -5.280
12 36 20 28 23.130 46.000 -5.280
13 37 21 29 22.638 48.000 -5.280
14 38 22 30 22.478 50.000 -5.280
15 39 23 31 21.696 52.000 -5.280
16 40 24 32 21.746 54.000 -5.280
17 41 25 33 21.673 56.000 -5.280
18 42 26 34 21.112 58.000 -5.280
19 43 27 35 20.919 60.000 -5.280
20 44 28 36 20.116 62.000 -5.280
21 45 29 37 19.061 64.000 -5.280
22 46 30 38 19.363 66.000 -5.280
23 47 31 39 19.226 68.000 -5.280
24 48 32 40 19.734 70.000 -5.280
1 28 10 19 19.604 27.000 -5.940
2 29 11 20 19.061 29.000 -5.940
3 30 12 21 18.839 31.000 -5.940
4 31 13 22 19.078 33.000 -5.940
5 32 14 23 18.752 35.000 -5.940
6 33 15 24 19.882 37.000 -5.940
7 34 16 25 21.010 39.000 -5.940
8 35 17 26 20.865 41.000 -5.940
9 36 18 27 20.956 43.000 -5.940
10 37 19 28 21.838 45.000 -5.940
11 38 20 29 21.819 47.000 -5.940
12 39 21 30 22.141 49.000 -5.940
13 40 22 31 21.486 51.000 -5.940
14 41 23 32 21.955 53.000 -5.940
15 42 24 33 21.180 55.000 -5.940
16 43 25 34 20.833 57.000 -5.940
17 44 26 35 21.076 59.000 -5.940
18 45 27 36 20.251 61.000 -5.940
19 46 28 37 19.277 63.000 -5.940
20 47 29 38 18.722 65.000 -5.940
21 48 30 39 18.985 67.000 -5.940
1 31 11 21 17.239 30.000 -6.600
2 32 12 22 18.798 32.000 -6.600
3 33 13 23 19.632 34.000 -6.600
4 34 14 24 20.535 36.000 -6.600
5 35 15 25 20.892 38.000 -6.600
6 36 16 26 21.301 40.000 -6.600
7 37 17 27 21.677 42.000 -6.600
8 38 18 28 21.122 44.000 -6.600
9 39 19 29 21.198 46.000 -6.600
10 40 20 30 21.557 48.000 -6.600
11 41 21 31 21.707 50.000 -6.600
12 42 22 32 22.008 52.000 -6.600
13 43 23 33 21.768 54.000 -6.600
14 44 24 34 21.521 56.000 -6.600
15 45 25 35 20.769 58.000 -6.600
16 46 26 36 20.711 60.000 -6.600
17 47 27 37 19.838 62.000 -6.600
18 48 28 38 19.261 64.000 -6.600
1 34 12 23 19.763 33.000 -7.260
2 35 13 24 20.561 35.000 -7.260
3 36 14 25 21.509 37.000 -7.260
4 37 15 26 21.769 39.000 -7.260
5 38 16 27 22.173 41.000 -7.260
6 39 17 28 22.506 43.000 -7.260
7 40 18 29 22.818 45.000 -7.260
8 41 19 30 22.258 47.000 -7.260
9 42 20 31 22.101 49.000 -7.260
10 43 21 32 21.870 51.000 -7.260
11 44 22 33 22.263 53.000 -7.260
12 45 23 34 22.116 55.000 -7.260
13 46 24 35 21.795 57.000 -7.260
14 47 25 36 20.915 59.000 -7.260
15 48 26 37 20.626 61.000 -7.260
1 37 13 25 22.153 36.000 -7.920
2 38 14 26 22.356 38.000 -7.920
3 39 15 27 22.641 40.000 -7.920
4 40 16 28 23.507 42.000 -7.920
5 41 17 29 23.921 44.000 -7.920
6 42 18 30 23.708 46.000 -7.920
7 43 19 31 24.035 48.000 -7.920
8 44 20 32 22.412 50.000 -7.920
9 45 21 33 22.162 52.000 -7.920
10 46 22 34 23.040 54.000 -7.920
11 47 23 35 23.293 56.000 -7.920
12 48 24 36 22.585 58.000 -7.920
1 40 14 27 23.572 39.000 -8.580
2 41 15 28 24.959 41.000 -8.580
3 42 16 29 25.059 43.000 -8.580
4 43 17 30 23.955 45.000 -8.580
5 44 18 31 24.785 47.000 -8.580
6 45 19 32 23.877 49.000 -8.580
7 46 20 33 23.937 51.000 -8.580
8 47 21 34 23.200 53.000 -8.580
9 48 22 35 23.767 55.000 -8.580
1 43 15 29 26.780 42.000 -9.240
2 44 16 30 25.122 44.000 -9.240
3 45 17 31 26.330 46.000 -9.240
4 46 18 32 25.075 48.000 -9.240
5 47 19 33 25.719 50.000 -9.240
6 48 20 34 25.348 52.000 -9.240
1 46 16 31 26.455 45.000 -9.900
2 47 17 32 26.071 47.000 -9.900
3 48 18 33 26.892 49.000 -9.900
1 2 4 3 43.352 3.000 -1.170
2 3 5 4 34.375 5.000 -1.170
3 4 6 5 42.768 7.000 -1.170
4 5 7 6 40.464 9.000 -1.170
5 6 8 7 57.997 11.000 -1.170
6 7 9 8 61.479 13.000 -1.170
7 8 10 9 53.441 15.000 -1.170
8 9 11 10 71.342 17.000 -1.170
9 10 12 11 72.037 19.000 -1.170
10 11 13 12 77.581 21.000 -1.170
11 12 14 13 99.495 23.000 -1.170
12 13 15 14 64.022 25.000 -1.170
13 14 16 15 115.191 27.000 -1.170
14 15 17 16 121.435 29.000 -1.170
15 16 18 17 156.278 31.000 -1.170
16 17 19 18 116.523 33.000 -1.170
17 18 20 19 154.217 35.000 -1.170
18 19 21 20 130.867 37.000 -1.170
19 20 22 21 142.805 39.000 -1.170
20 21 23 22 139.810 41.000 -1.170
21 22 24 23 180.419 43.000 -1.170
22 23 25 24 148.987 45.000 -1.170
23 24 26 25 191.686 47.000 -1.170
24 25 27 26 192.033 49.000 -1.170
25 26 28 27 181.636 51.000 -1.170
26 27 29 28 140.948 53.000 -1.170
27 28 30 29 156.288 55.000 -1.170
28 29 31 30 151.194 57.000 -1.170
29 30 32 31 120.364 59.000 -1.170
30 31 33 32 93.790 61.000 -1.170
31 32 34 33 96.677 63.000 -1.170
32 33 35 34 83.082 65.000 -1.170
33 34 36 35 85.698 67.000 -1.170
34 35 37 36 156.698 69.000 -1.170
35 36 38 37 113.645 71.000 -1.170
36 37 39 38 104.527 73.000 -1.170
37 38 40 39 38.639 75.000 -1.170
38 39 41 40 61.044 77.000 -1.170
39 40 42 41 48.390 79.000 -1.170
40 41 43 42 41.522 81.000 -1.170
41 42 44 43 53.060 83.000 -1.170
42 43 45 44 60.431 85.000 -1.170
43 44 46 45 44.310 87.000 -1.170
44 45 47 46 50.141 89.000 -1.170
45 46 48 47 37.113 91.000 -1.170
1 2 5 4 27.375 4.000 -1.560
2 3 6 5 27.586 6.000 -1.560
3 4 7 6 27.457 8.000 -1.560
4 5 8 7 27.895 10.000 -1.560
5 6 9 8 31.229 12.000 -1.560
6 7 10 9 38.182 14.000 -1.560
7 8 11 10 39.406 16.000 -1.560
8 9 12 11 41.368 18.000 -1.560
9 10 13 12 40.962 20.000 -1.560
10 11 14 13 69.403 22.000 -1.560
11 12 15 14 68.825 24.000 -1.560
12 13 16 15 45.984 26.000 -1.560
13 14 17 16 63.524 28.000 -1.560
14 15 18 17 75.687 30.000 -1.560
15 16 19 18 80.306 32.000 -1.560
16 17 20 19 78.949 34.000 -1.560
17 18 21 20 96.750 36.000 -1.560
18 19 22 21 72.747 38.000 -1.560
19 20 23 22 89.980 40.000 -1.560
20 21 24 23 102.162 42.000 -1.560
21 22 25 24 105.120 44.000 -1.560
22 23 26 25 124.610 46.000 -1.560
23 24 27 26 166.817 48.000 -1.560
24 25 28 27 165.819 50.000 -1.560
25 26 29 28 124.093 52.000 -1.560
26 27 30 29 106.560 54.000 -1.560
27 28 31 30 101.667 56.000 -1.560
28 29 32 31 81.043 58.000 -1.560
29 30 33 32 56.601 60.000 -1.560
30 31 34 33 55.663 62.000 -1.560
31 32 35 34 52.363 64.000 -1.560
32 33 36 35 38.990 66.000 -1.560
33 34 37 36 57.605 68.000 -1.560
34 35 38 37 94.241 70.000 -1.560
35 36 39 38 66.135 72.000 -1.560
36 37 40 39 31.391 74.000 -1.560
37 38 41 40 24.049 76.000 -1.560
38 39 42 41 25.825 78.000 -1.560
39 40 43 42 26.560 80.000 -1.560
40 41 44 43 26.140 82.000 -1.560
41 42 45 44 32.756 84.000 -1.560
42 43 46 45 26.026 86.000 -1.560
43 44 47 46 29.426 88.000 -1.560
44 45 48 47 28.148 90.000 -1.560
1 2 6 5 22.252 5.000 -1.950
2 3 7 6 22.537 7.000 -1.950
3 4 8 7 22.667 9.000 -1.950
4 5 9 8 19.043 11.000 -1.950
5 6 10 9 22.577 13.000 -1.950
6 7 11 10 28.808 15.000 -1.950
7 8 12 11 26.769 17.000 -1.950
8 9 13 12 25.716 19.000 -1.950
9 10 14 13 40.753 21.000 -1.950
10 11 15 14 47.644 23.000 -1.950
11 12 16 15 49.514 25.000 -1.950
12 13 17 16 30.612 27.000 -1.950
13 14 18 17 44.998 29.000 -1.950
14 15 19 18 42.961 31.000 -1.950
15 16 20 19 58.524 33.000 -1.950
16 17 21 20 54.413 35.000 -1.950
17 18 22 21 55.829 37.000 -1.950
18 19 23 22 48.809 39.000 -1.950
19 20 24 23 69.084 41.000 -1.950
20 21 25 24 66.226 43.000 -1.950
21 22 26 25 84.420 45.000 -1.950
22 23 27 26 102.266 47.000 -1.950
23 24 28 27 135.549 49.000 -1.950
24 25 29 28 107.769 51.000 -1.950
25 26 30 29 89.488 53.000 -1.950
26 27 31 30 72.747 55.000 -1.950
27 28 32 31 62.456 57.000 -1.950
28 29 33 32 42.598 59.000 -1.950
29 30 34 33 41.968 61.000 -1.950
30 31 35 34 39.834 63.000 -1.950
31 32 36 35 34.329 65.000 -1.950
32 33 37 36 32.702 67.000 -1.950
33 34 38 37 42.778 69.000 -1.950
34 35 39 38 52.949 71.000 -1.950
35 36 40 39 25.905 73.000 -1.950
36 37 41 40 21.050 75.000 -1.950
37 38 42 41 19.419 77.000 -1.950
38 39 43 42 23.309 79.000 -1.950
39 40 44 43 23.290 81.000 -1.950
40 41 45 44 26.182 83.000 -1.950
41 42 46 45 21.635 85.000 -1.950
42 43 47 46 29.621 87.000 -1.950
43 44 48 47 24.507 89.000 -1.950
1 2 7 6 19.664 6.000 -2.340
2 3 8 7 22.485 8.000 -2.340
3 4 9 8 18.667 10.000 -2.340
4 5 10 9 16.904 12.000 -2.340
5 6 11 10 20.204 14.000 -2.340
6 7 12 11 22.161 16.000 -2.340
7 8 13 12 18.688 18.000 -2.340
8 9 14 13 29.401 20.000 -2.340
9 10 15 14 32.782 22.000 -2.340
10 11 16 15 40.296 24.000 -2.340
11 12 17 16 36.819 26.000 -2.340
12 13 18 17 28.111 28.000 -2.340
13 14 19 18 31.909 30.000 -2.340
14 15 20 19 37.592 32.000 -2.340
15 16 21 20 46.248 34.000 -2.340
16 17 22 21 40.965 36.000 -2.340
17 18 23 22 44.312 38.000 -2.340
18 19 24 23 45.292 40.000 -2.340
19 20 25 24 51.023 42.000 -2.340
20 21 26 25 60.628 44.000 -2.340
21 22 27 26 74.394 46.000 -2.340
22 23 28 27 87.403 48.000 -2.340
23 24 29 28 92.524 50.000 -2.340
24 25 30 29 75.523 52.000 -2.340
25 26 31 30 59.853 54.000 -2.340
26 27 32 31 47.238 56.000 -2.340
27 28 33 32 48.659 58.000 -2.340
28 29 34 33 50.616 60.000 -2.340
29 30 35 34 42.823 62.000 -2.340
30 31 36 35 31.164 64.000 -2.340
31 32 37 36 35.255 66.000 -2.340
32 33 38 37 29.390 68.000 -2.340
33 34 39 38 42.200 70.000 -2.340
34 35 40 39 37.306 72.000 -2.340
35 36 41 40 20.905 74.000 -2.340
36 37 42 41 22.199 76.000 -2.340
37 38 43 42 19.588 78.000 -2.340
38 39 44 43 24.075 80.000 -2.340
39 40 45 44 20.297 82.000 -2.340
40 41 46 45 20.469 84.000 -2.340
41 42 47 46 24.685 86.000 -2.340
42 43 48 47 21.790 88.000 -2.340
1 2 8 7 21.892 7.000 -2.730
2 3 9 8 21.056 9.000 -2.730
3 4 10 9 18.227 11.000 -2.730
4 5 11 10 16.050 13.000 -2.730
5 6 12 11 16.712 15.000 -2.730
6 7 13 12 16.736 17.000 -2.730
7 8 14 13 26.761 19.000 -2.730
8 9 15 14 25.162 21.000 -2.730
9 10 16 15 30.641 23.000 -2.730
10 11 17 16 32.781 25.000 -2.730
11 12 18 17 35.994 27.000 -2.730
12 13 19 18 23.114 29.000 -2.730
13 14 20 19 33.807 31.000 -2.730
14 15 21 20 34.811 33.000 -2.730
15 16 22 21 38.963 35.000 -2.730
16 17 23 22 33.826 37.000 -2.730
17 18 24 23 50.522 39.000 -2.730
18 19 25 24 42.943 41.000 -2.730
19 20 26 25 51.604 43.000 -2.730
20 21 27 26 57.521 45.000 -2.730
21 22 28 27 67.591 47.000 -2.730
22 23 29 28 63.437 49.000 -2.730
23 24 30 29 70.829 51.000 -2.730
24 25 31 30 61.287 53.000 -2.730
25 26 32 31 52.375 55.000 -2.730
26 27 33 32 31.005 57.000 -2.730
27 28 34 33 24.856 59.000 -2.730
28 29 35 34 40.988 61.000 -2.730
29 30 36 35 33.776 63.000 -2.730
30 31 37 36 27.698 65.000 -2.730
31 32 38 37 27.041 67.000 -2.730
32 33 39 38 23.740 69.000 -2.730
33 34 40 39 -4.119 71.000 -2.730
34 35 41 40 20.051 73.000 -2.730
35 36 42 41 22.594 75.000 -2.730
36 37 43 42 25.133 77.000 -2.730
37 38 44 43 19.760 79.000 -2.730
38 39 45 44 25.838 81.000 -2.730
39 40 46 45 17.834 83.000 -2.730
40 41 47 46 21.288 85.000 -2.730
41 42 48 47 23.985 87.000 -2.730
1 3 9 7 21.360 8.000 -3.120
2 4 10 8 19.617 10.000 -3.120
3 5 11 9 17.354 12.000 -3.120
4 6 12 10 17.877 14.000 -3.120
5 7 13 11 18.254 16.000 -3.120
6 8 14 12 20.231 18.000 -3.120
7 9 15 13 26.886 20.000 -3.120
8 10 16 14 29.164 22.000 -3.120
9 11 17 15 33.948 24.000 -3.120
10 12 18 16 35.229 26.000 -3.120
11 13 19 17 28.919 28.000 -3.120
12 14 20 18 29.357 30.000 -3.120
13 15 21 19 35.378 32.000 -3.120
14 16 22 20 39.583 34.000 -3.120
15 17 23 21 38.061 36.000 -3.120
16 18 24 22 42.239 38.000 -3.120
17 19 25 23 45.179 40.000 -3.120
18 20 26 24 48.288 42.000 -3.120
19 21 27 25 56.543 44.000 -3.120
20 22 28 26 66.298 46.000 -3.120
21 23 29 27 72.203 48.000 -3.120
22 24 30 28 74.845 50.000 -3.120
23 25 31 29 68.448 52.000 -3.120
24 26 32 30 56.004 54.000 -3.120
25 27 33 31 45.343 56.000 -3.120
