48# Number of electrodes
# x z
0.000     0.000
2.000     0.000
4.000     0.000
6.000     0.000
8.000     0.000
10.000     0.000
12.000     0.000
14.000     0.000
16.000     0.000
18.000     0.000
20.000     0.000
22.000     0.000
24.000     0.000
26.000     0.000
28.000     0.000
30.000     0.000
32.000     0.000
34.000     0.000
36.000     0.000
38.000     0.000
40.000     0.000
42.000     0.000
44.000     0.000
46.000     0.000
48.000     0.000
50.000     0.000
52.000     0.000
54.000     0.000
56.000     0.000
58.000     0.000
60.000     0.000
62.000     0.000
64.000     0.000
66.000     0.000
68.000     0.000
70.000     0.000
72.000     0.000
74.000     0.000
76.000     0.000
78.000     0.000
80.000     0.000
82.000     0.000
84.000     0.000
86.000     0.000
88.000     0.000
90.000     0.000
92.000     0.000
94.000     0.000
909# Number of data
# a b m n rhoa x z
26 28 34 32 41.347 58.000 -3.120
27 29 35 33 41.826 60.000 -3.120
28 30 36 34 38.647 62.000 -3.120
29 31 37 35 32.172 64.000 -3.120
30 32 38 36 32.014 66.000 -3.120
31 33 39 37 25.923 68.000 -3.120
32 34 40 38 23.369 70.000 -3.120
33 35 41 39 23.782 72.000 -3.120
34 36 42 40 22.985 74.000 -3.120
35 37 43 41 23.328 76.000 -3.120
36 38 44 42 21.990 78.000 -3.120
37 39 45 43 23.326 80.000 -3.120
38 40 46 44 21.358 82.000 -3.120
39 41 47 45 20.511 84.000 -3.120
40 42 48 46 23.520 86.000 -3.120
1 3 11 9 21.811 10.000 -3.900
2 4 12 10 20.514 12.000 -3.900
3 5 13 11 15.809 14.000 -3.900
4 6 14 12 14.068 16.000 -3.900
5 7 15 13 18.510 18.000 -3.900
6 8 16 14 21.006 20.000 -3.900
7 9 17 15 23.491 22.000 -3.900
8 10 18 16 25.684 24.000 -3.900
9 11 19 17 29.657 26.000 -3.900
10 12 20 18 30.053 28.000 -3.900
11 13 21 19 26.949 30.000 -3.900
12 14 22 20 26.584 32.000 -3.900
13 15 23 21 27.763 34.000 -3.900
14 16 24 22 33.824 36.000 -3.900
15 17 25 23 41.559 38.000 -3.900
16 18 26 24 44.055 40.000 -3.900
17 19 27 25 42.472 42.000 -3.900
18 20 28 26 45.972 44.000 -3.900
19 21 29 27 47.237 46.000 -3.900
20 22 30 28 44.226 48.000 -3.900
21 23 31 29 42.597 50.000 -3.900
22 24 32 30 45.254 52.000 -3.900
23 25 33 31 40.255 54.000 -3.900
24 26 34 32 36.876 56.000 -3.900
25 27 35 33 40.009 58.000 -3.900
26 28 36 34 39.935 60.000 -3.900
27 29 37 35 34.395 62.000 -3.900
28 30 38 36 31.961 64.000 -3.900
29 31 39 37 30.575 66.000 -3.900
30 32 40 38 22.832 68.000 -3.900
31 33 41 39 19.317 70.000 -3.900
32 34 42 40 21.329 72.000 -3.900
33 35 43 41 20.692 74.000 -3.900
34 36 44 42 26.255 76.000 -3.900
35 37 45 43 23.443 78.000 -3.900
36 38 46 44 21.447 80.000 -3.900
37 39 47 45 22.291 82.000 -3.900
38 40 48 46 20.851 84.000 -3.900
1 3 13 11 20.613 12.000 -4.680
2 4 14 12 17.430 14.000 -4.680
3 5 15 13 14.175 16.000 -4.680
4 6 16 14 14.887 18.000 -4.680
5 7 17 15 14.591 20.000 -4.680
6 8 18 16 18.660 22.000 -4.680
7 9 19 17 18.964 24.000 -4.680
8 10 20 18 21.193 26.000 -4.680
9 11 21 19 26.290 28.000 -4.680
10 12 22 20 27.273 30.000 -4.680
11 13 23 21 22.033 32.000 -4.680
12 14 24 22 24.265 34.000 -4.680
13 15 25 23 31.381 36.000 -4.680
14 16 26 24 32.297 38.000 -4.680
15 17 27 25 39.690 40.000 -4.680
16 18 28 26 39.466 42.000 -4.680
17 19 29 27 35.045 44.000 -4.680
18 20 30 28 31.658 46.000 -4.680
19 21 31 29 30.129 48.000 -4.680
20 22 32 30 28.368 50.000 -4.680
21 23 33 31 27.463 52.000 -4.680
22 24 34 32 31.164 54.000 -4.680
23 25 35 33 44.937 56.000 -4.680
24 26 36 34 39.617 58.000 -4.680
25 27 37 35 30.889 60.000 -4.680
26 28 38 36 32.126 62.000 -4.680
27 29 39 37 28.841 64.000 -4.680
28 30 40 38 27.095 66.000 -4.680
29 31 41 39 16.763 68.000 -4.680
30 32 42 40 18.283 70.000 -4.680
31 33 43 41 26.579 72.000 -4.680
32 34 44 42 4.394 74.000 -4.680
33 35 45 43 24.598 76.000 -4.680
34 36 46 44 20.345 78.000 -4.680
35 37 47 45 17.999 80.000 -4.680
36 38 48 46 21.118 82.000 -4.680
1 3 15 13 18.719 14.000 -5.460
2 4 16 14 20.003 16.000 -5.460
3 5 17 15 12.714 18.000 -5.460
4 6 18 16 14.482 20.000 -5.460
5 7 19 17 20.325 22.000 -5.460
6 8 20 18 15.596 24.000 -5.460
7 9 21 19 20.399 26.000 -5.460
8 10 22 20 19.433 28.000 -5.460
9 11 23 21 21.017 30.000 -5.460
10 12 24 22 26.052 32.000 -5.460
11 13 25 23 19.783 34.000 -5.460
12 14 26 24 27.345 36.000 -5.460
13 15 27 25 28.377 38.000 -5.460
14 16 28 26 30.050 40.000 -5.460
15 17 29 27 30.063 42.000 -5.460
16 18 30 28 26.469 44.000 -5.460
17 19 31 29 20.768 46.000 -5.460
18 20 32 30 20.541 48.000 -5.460
19 21 33 31 19.264 50.000 -5.460
20 22 34 32 20.373 52.000 -5.460
21 23 35 33 26.220 54.000 -5.460
22 24 36 34 31.665 56.000 -5.460
23 25 37 35 22.864 58.000 -5.460
24 26 38 36 29.371 60.000 -5.460
25 27 39 37 30.886 62.000 -5.460
26 28 40 38 22.215 64.000 -5.460
27 29 41 39 17.026 66.000 -5.460
28 30 42 40 8.920 68.000 -5.460
29 31 43 41 21.655 70.000 -5.460
30 32 44 42 11.200 72.000 -5.460
31 33 45 43 16.351 74.000 -5.460
32 34 46 44 34.734 76.000 -5.460
33 35 47 45 20.763 78.000 -5.460
34 36 48 46 20.283 80.000 -5.460
1 4 16 13 18.402 15.000 -5.850
2 5 17 14 15.560 17.000 -5.850
3 6 18 15 15.019 19.000 -5.850
4 7 19 16 15.564 21.000 -5.850
5 8 20 17 17.892 23.000 -5.850
6 9 21 18 18.274 25.000 -5.850
7 10 22 19 20.186 27.000 -5.850
8 11 23 20 21.705 29.000 -5.850
9 12 24 21 23.937 31.000 -5.850
10 13 25 22 21.161 33.000 -5.850
11 14 26 23 25.000 35.000 -5.850
12 15 27 24 26.891 37.000 -5.850
13 16 28 25 30.482 39.000 -5.850
14 17 29 26 30.993 41.000 -5.850
15 18 30 27 30.075 43.000 -5.850
16 19 31 28 24.999 45.000 -5.850
17 20 32 29 22.911 47.000 -5.850
18 21 33 30 19.577 49.000 -5.850
19 22 34 31 21.538 51.000 -5.850
20 23 35 32 23.370 53.000 -5.850
21 24 36 33 29.304 55.000 -5.850
22 25 37 34 29.389 57.000 -5.850
23 26 38 35 29.962 59.000 -5.850
24 27 39 36 28.184 61.000 -5.850
25 28 40 37 26.906 63.000 -5.850
26 29 41 38 21.387 65.000 -5.850
27 30 42 39 23.922 67.000 -5.850
28 31 43 40 19.190 69.000 -5.850
29 32 44 41 31.520 71.000 -5.850
30 33 45 42 14.517 73.000 -5.850
31 34 46 43 17.381 75.000 -5.850
32 35 47 44 24.176 77.000 -5.850
33 36 48 45 20.946 79.000 -5.850
1 4 19 16 18.341 18.000 -7.020
2 5 20 17 14.372 20.000 -7.020
3 6 21 18 12.156 22.000 -7.020
4 7 22 19 10.432 24.000 -7.020
5 8 23 20 14.771 26.000 -7.020
6 9 24 21 16.200 28.000 -7.020
7 10 25 22 10.627 30.000 -7.020
8 11 26 23 24.114 32.000 -7.020
9 12 27 24 20.266 34.000 -7.020
10 13 28 25 19.284 36.000 -7.020
11 14 29 26 19.598 38.000 -7.020
12 15 30 27 18.795 40.000 -7.020
13 16 31 28 18.014 42.000 -7.020
14 17 32 29 17.263 44.000 -7.020
15 18 33 30 15.463 46.000 -7.020
16 19 34 31 13.789 48.000 -7.020
17 20 35 32 14.581 50.000 -7.020
18 21 36 33 19.272 52.000 -7.020
19 22 37 34 17.942 54.000 -7.020
20 23 38 35 16.987 56.000 -7.020
21 24 39 36 16.096 58.000 -7.020
22 25 40 37 17.317 60.000 -7.020
23 26 41 38 10.921 62.000 -7.020
24 27 42 39 16.082 64.000 -7.020
25 28 43 40 14.074 66.000 -7.020
26 29 44 41 5.157 68.000 -7.020
27 30 45 42 26.003 70.000 -7.020
28 31 46 43 16.263 72.000 -7.020
29 32 47 44 3.425 74.000 -7.020
30 33 48 45 10.025 76.000 -7.020
1 4 22 19 13.598 21.000 -8.190
2 5 23 20 11.416 23.000 -8.190
3 6 24 21 10.704 25.000 -8.190
4 7 25 22 21.740 27.000 -8.190
5 8 26 23 -7.893 29.000 -8.190
6 9 27 24 0.293 31.000 -8.190
7 10 28 25 11.440 33.000 -8.190
8 11 29 26 18.106 35.000 -8.190
9 12 30 27 17.087 37.000 -8.190
10 13 31 28 12.255 39.000 -8.190
11 14 32 29 12.176 41.000 -8.190
12 15 33 30 10.147 43.000 -8.190
13 16 34 31 12.326 45.000 -8.190
14 17 35 32 11.939 47.000 -8.190
15 18 36 33 16.562 49.000 -8.190
16 19 37 34 13.015 51.000 -8.190
17 20 38 35 11.836 53.000 -8.190
18 21 39 36 11.242 55.000 -8.190
19 22 40 37 15.034 57.000 -8.190
20 23 41 38 10.870 59.000 -8.190
21 24 42 39 19.301 61.000 -8.190
22 25 43 40 4.235 63.000 -8.190
23 26 44 41 18.874 65.000 -8.190
24 27 45 42 9.856 67.000 -8.190
25 28 46 43 13.712 69.000 -8.190
26 29 47 44 31.533 71.000 -8.190
27 30 48 45 21.003 73.000 -8.190
1 5 25 21 24.924 24.000 -9.360
2 6 26 22 22.632 26.000 -9.360
3 7 27 23 28.362 28.000 -9.360
4 8 28 24 7.868 30.000 -9.360
5 9 29 25 8.366 32.000 -9.360
6 10 30 26 11.165 34.000 -9.360
7 11 31 27 13.421 36.000 -9.360
8 12 32 28 12.966 38.000 -9.360
9 13 33 29 10.723 40.000 -9.360
10 14 34 30 10.682 42.000 -9.360
11 15 35 31 10.584 44.000 -9.360
12 16 36 32 11.225 46.000 -9.360
13 17 37 33 12.975 48.000 -9.360
14 18 38 34 13.065 50.000 -9.360
15 19 39 35 9.663 52.000 -9.360
16 20 40 36 10.707 54.000 -9.360
17 21 41 37 10.857 56.000 -9.360
18 22 42 38 11.123 58.000 -9.360
19 23 43 39 11.292 60.000 -9.360
20 24 44 40 9.428 62.000 -9.360
21 25 45 41 13.005 64.000 -9.360
22 26 46 42 20.846 66.000 -9.360
23 27 47 43 20.731 68.000 -9.360
24 28 48 44 23.313 70.000 -9.360
1 5 29 25 26.622 28.000 -10.920
2 6 30 26 18.166 30.000 -10.920
3 7 31 27 15.781 32.000 -10.920
4 8 32 28 9.208 34.000 -10.920
5 9 33 29 10.007 36.000 -10.920
6 10 34 30 8.086 38.000 -10.920
7 11 35 31 11.020 40.000 -10.920
8 12 36 32 10.369 42.000 -10.920
9 13 37 33 11.259 44.000 -10.920
10 14 38 34 8.624 46.000 -10.920
11 15 39 35 10.781 48.000 -10.920
12 16 40 36 10.436 50.000 -10.920
13 17 41 37 8.086 52.000 -10.920
14 18 42 38 10.313 54.000 -10.920
15 19 43 39 10.777 56.000 -10.920
16 20 44 40 9.553 58.000 -10.920
17 21 45 41 17.470 60.000 -10.920
18 22 46 42 12.287 62.000 -10.920
19 23 47 43 9.099 64.000 -10.920
20 24 48 44 21.185 66.000 -10.920
1 6 31 26 14.293 30.000 -11.700
2 7 32 27 14.967 32.000 -11.700
3 8 33 28 9.048 34.000 -11.700
4 9 34 29 8.731 36.000 -11.700
5 10 35 30 7.510 38.000 -11.700
6 11 36 31 9.470 40.000 -11.700
7 12 37 32 10.639 42.000 -11.700
8 13 38 33 10.774 44.000 -11.700
9 14 39 34 10.651 46.000 -11.700
10 15 40 35 10.224 48.000 -11.700
11 16 41 36 9.111 50.000 -11.700
12 17 42 37 9.613 52.000 -11.700
13 18 43 38 12.071 54.000 -11.700
14 19 44 39 9.372 56.000 -11.700
15 20 45 40 9.553 58.000 -11.700
16 21 46 41 16.037 60.000 -11.700
17 22 47 42 9.824 62.000 -11.700
18 23 48 43 12.953 64.000 -11.700
1 6 36 31 11.334 35.000 -13.650
2 7 37 32 11.493 37.000 -13.650
3 8 38 33 10.688 39.000 -13.650
4 9 39 34 12.122 41.000 -13.650
5 10 40 35 13.907 43.000 -13.650
6 11 41 36 10.648 45.000 -13.650
7 12 42 37 10.543 47.000 -13.650
8 13 43 38 10.019 49.000 -13.650
9 14 44 39 9.184 51.000 -13.650
10 15 45 40 9.725 53.000 -13.650
11 16 46 41 12.051 55.000 -13.650
12 17 47 42 11.704 57.000 -13.650
13 18 48 43 12.984 59.000 -13.650
1 7 37 31 12.785 36.000 -14.040
2 8 38 32 9.790 38.000 -14.040
3 9 39 33 10.990 40.000 -14.040
4 10 40 34 8.966 42.000 -14.040
5 11 41 35 10.170 44.000 -14.040
6 12 42 36 10.725 46.000 -14.040
7 13 43 37 13.599 48.000 -14.040
8 14 44 38 10.064 50.000 -14.040
9 15 45 39 10.218 52.000 -14.040
10 16 46 40 11.599 54.000 -14.040
11 17 47 41 11.219 56.000 -14.040
12 18 48 42 15.463 58.000 -14.040
1 7 43 37 14.583 42.000 -16.380
2 8 44 38 12.049 44.000 -16.380
3 9 45 39 8.582 46.000 -16.380
4 10 46 40 11.258 48.000 -16.380
5 11 47 41 13.189 50.000 -16.380
6 12 48 42 13.474 52.000 -16.380
1 10 46 37 11.563 45.000 -17.550
2 11 47 38 12.088 47.000 -17.550
3 12 48 39 10.247 49.000 -17.550
